source_id,research_problem,method,dataset_benchmark,document_type,contradiction_definition,contradiction_types,entity_resolution,temporal_modeling,status_modeling,provenance,graph_representation,semantic_model,fusion_method,uncertainty_handling,baselines,evaluation_metrics,key_results,limitations,relevance_hyconcheck,relation_F,relation_H,open_gap,quality_transparency,quality_reproducibility,quality_evaluation,quality_relevance,quality_evidence,anticipates_hyconcheck
SRC-0031,Korpus für dokumentübergreifende Relationen,Annotation von Satzpaaren aus Nachrichtenclustern mit CST-Relationen,CST Bank (Multi-Dokument-Cluster),Nachrichtencluster,CST-Relation 'contradiction',"CST-Relationen (inkl. Widerspruch, Paraphrase, Überlappung)",n/a,n/a,n/a,Autoren/Agenturen/Zeitpunkte je Dokument,n/a,-,n/a,n/a,-,unklar (Abstract-Basis),Korpus mit annotierten Cross-Document-Relationen (Abstract),unklar (Abstract-Basis),mittel – historischer Cross-Document-Benchmark,F1,,Nachrichten statt Projektdokumente,nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),mittel,mittel,nein
SRC-0032,NLI über Dokumentpaare in verschiedenen Sprachen,"RST-basierte heterogene Graph-Neural-Network-Fusion, lexikalische Ketten für Alignment, EDU-Attribution","CDCL-NLI: 25.410 Instanzen, 26 Sprachen, 370 Ereignisse, ereignisdisjunkte Splits 22.200/1.605/1.605",Nachrichtenartikel (Paare),NLI-Labels über Dokumentpaar,allgemein,n/a,n/a,n/a,Metadaten zur Dokumentquelle,Heterogener Graph über EDUs beider Dokumente (RST),Encoder + GNN,Graph-Fusion beider Dokumente,n/a,"DocNLI, R2F, LLMs",Macro P/R/F1,"Macro-F1 68,95 % (cross-lingual) / 70,68 % (englisch übersetzt) – über DocNLI/R2F/LLMs",Nur Dokumentpaare,"hoch – graphbasierte dokumentübergreifende Inferenz (Bezug §5A/§5C), ohne Zeit/Status","F2, F3",H5 (Stand der Technik),Mehr als zwei Dokumente; keine Zeit-/Status-/Entitätsmodellierung,hoch,mittel,hoch,hoch,hoch,teilweise
SRC-0033,Konflikte zwischen Evidenzstücken (inter-evidence conflicts) erkennen und auflösen,"LLM-generierte, validierte Evidenzkonflikte (Answer-/Factoid-Konflikte); Vergleich NLI-, Factual-Consistency-, LLM-Detektoren; Analyse der Auflösung","ECON (aus StrategyQA, NaturalQuestions, ComplexWebQuestions)",Evidenzpassagen (Web/QA),Zwei Evidenzstücke führen zu unvereinbaren Antworten/Fakten,"Answer conflicts, Factoid conflicts (mit Untertypen im Anhang)",n/a,n/a,n/a,n/a,n/a,"NLI, FC-Modelle, LLMs (GPT-4 u. a.)",n/a,n/a,NLI vs. FC vs. LLM,Precision/Recall/F1,"NLI/LLM hohe Precision, schwache Modelle niedrige Recall; FC schwach bei lexikalisch ähnlichen Konflikten; −18,2 % F1 bei längeren Kontexten (NLI); LLMs lösen Konflikte oft unbegründet auf","Nur Text; keine strukturierte Evidenz (Tabellen, Graphen); keine Domänenanpassung",hoch – Vergleich der Verfahrensfamilien B1–B4 auf Konflikterkennung; Auflösung als offen,"F3, F4","H1, H6 (Stand der Technik)",Strukturierte Evidenz/Graphen nicht betrachtet (von Autoren benannt),hoch,hoch,hoch,hoch,hoch,nein
SRC-0034,Inter-Kontext-Konflikte in RAG mit Single-/Multi-Hop,KG-basierte Generierung konfligierender Kontextpaare aus Wikidata-Subgraphen (max. 15 Kanten); Detektion und Lokalisierung durch LLMs,MAGIC (öffentlich),generierte Kontexte,Zwei ähnliche Kontexte enthalten unvereinbare Fakten (über KG-Relationen),"1-Single-Hop, N-Single-Hop, 1-Multi-Hop, N-Multi-Hop",n/a,n/a,n/a,n/a,Knowledge-Graph-Subgraphen als Generierungs- und Erklärungsbasis,offene und proprietäre LLMs,n/a,n/a,Modellvergleich,"Accuracy (Detektion), Lokalisierung (manuell)","LLMs scheitern insbesondere bei Multi-Hop-Konflikten und Lokalisierung (Generierungsvalidität 95,2 %/82,0 % laut Volltext)",Wikidata-basiert; manuelle Lokalisierungsbewertung,hoch – graphbasierte Konfliktkonstruktion und Multi-Hop-Bezug (H5-Stand der Technik); Vorlage für AP2-Generator,"F1, F4",H5 (Stand der Technik),Keine Zeit/Status; keine Projektdokumente,hoch,hoch,mittel,hoch,hoch,teilweise
SRC-0035,Faktische Widersprüche in langen Erzählungen unter Berücksichtigung zeitlicher Änderungen,"Vierstufige Pipeline: atomare Fakten, Gültigkeitsintervalle im World State, Widerspruchsdetektion, Update; LLaMA-2-7B / GPT-4","Strukturierte Story-Outlines (2.000–3.000 Wörter), GPT-4-annotierte Widerspruchsscores",Story-Outlines (generiert),Neues Fakt widerspricht gültigem Fakt im World State; zeitlich abgelöste Fakten sind kein Widerspruch,Faktwiderspruch vs. legitime Zustandsänderung → Zeit und Status,n/a,Zeitliche Gültigkeitsintervalle je atomarem Fakt,World-State-Update (pre-/post-facts),Ereignisbezug je Fakt,World State als Faktenmenge (kein Graph),"LLM (Dekomposition), NLI-Modell/Few-shot-LLM für Detektion",Pipeline; Ablation NLI vs. Few-shot-LLM,n/a,"Fair Baseline (gleiches LLM), GPT-4-Baseline","Widerspruchsscore (Proxy), Ablationen",Mit LLaMA-2-7B vergleichbar mit GPT-4-Baseline; mit GPT-4 signifikant besser; Dekomposition und Tracking kritisch,Gold-Labels schwer; GPT-4 als Proxy-Annotator; manuelle Designentscheidungen; nur Outlines,"hoch – nimmt Kernidee 'Gültigkeitsintervalle unterscheiden Fortschreibung von Widerspruch' (§5B, H3) in anderer Domäne vorweg","F2, F5","H3, H4 (Stand der Technik – Vorwegnahme in Erzähldomäne)",Keine Projektdokumente; keine Entity Resolution über Quellen; kein Evidenzgraph,hoch,mittel,mittel,hoch,hoch,weitgehend
SRC-0036,Fehlende realistische Benchmarks für Widersprüche in Rechtsdokumenten (RAG),"Multi-Agent-Generierung synthetischer Rechtsdokumente, Injektion von sechs Widerspruchstypen (self/pairwise), NLI-Mining + Human-in-the-loop; Vergleich NLI, LLM, Hybrid",Synthetischer legaler Benchmark (Framework),Rechtsdokumente (synthetisch),Injizierte strukturierte Widersprüche innerhalb und zwischen Dokumenten,"Sechs Typen (u. a. temporale Fehlausrichtung, Umkehr von Verpflichtungen, Zahlen/Entitäten) → Zeit und Status, Modalität und Norm, Fakt und Wert",n/a,Temporale Widerspruchstypen im Generator (keine Zeitnormalisierung im Detektor),n/a,n/a,n/a,"NLI, LLM",Hybrid NLI+LLM,n/a,"NLI-only, LLM-only","Precision, Recall, F1","NLI: R 81,6 %/P 37,3 %; LLM: P 74,4 %/R 76,3 %; Hybrid am besten; dokumentübergreifend bleibt schwer (LLM-only F1 46,9 %)",Synthetisch; API-Kosten,"hoch – Testdatengenerator mit Typtaxonomie (AP2), Hybridvergleich, dokumentübergreifende Schwierigkeit","F1, F3, F4",H1 (Stand der Technik: Hybrid > Einzel in einem Setting),Keine explizite Zeit-/Statusmodellierung im Detektor; keine Provenienz,mittel,niedrig,mittel,hoch,mittel,teilweise
SRC-0037,Widerspruchsbenchmark für Unternehmensdokumente (RAG),Multi-Agent-Generierung synthetischer Unternehmensdokumente mit intra-/cross-document Widersprüchen; Taxonomie geschäftsprozessbezogener Typen; Human-in-the-loop,ContraGen (Framework),"Verträge, Finanzberichte, Compliance-Berichte, Policy-Handbücher (synthetisch)",unklar (Abstract-Basis),Taxonomie geschäftsprozessbezogener Widerspruchstypen (nicht im Abstract spezifiziert),n/a,n/a,n/a,n/a,n/a,unklar (Abstract-Basis),n/a,n/a,unklar (Abstract-Basis),unklar (Abstract-Basis),Framework + Retrieval-Evaluationspipeline (Abstract),unklar (Abstract-Basis),mittel–hoch – Dokumenttypen nahe am Kernumfang; dokumentübergreifend,F1,,unklar (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),hoch,mittel,teilweise
SRC-0038,Divergenzen zwischen FDA- und EMA-Anforderungen erkennen (inkl. Schweigen einer Seite),"Paarklassifikation AGREE/DIVERGE/SILENT; Baselines: lexikalisch, NLI-Cross-Encoder, Obligation-Graph-RAG, LLM-Judge","RegDivergence-101 (101 Paare, κ = 0,85, Pilot)",Regulatorische Leitlinien (Paare),DIVERGE = substanziell abweichende Anforderungen; SILENT = eine Seite regelt nicht,"AGREE/DIVERGE/SILENT (directional) → Modalität und Norm, Abhängigkeit",n/a,n/a,n/a,n/a,Obligation-Graph für Graph-RAG,"NLI-Cross-Encoder, LLM",n/a,n/a,"lexikalisch 0,511 Macro-F1; NLI 0,233; Graph-RAG 0,663; LLM 0,830","Macro-F1 mit 95 %-CI, per-direction F1","LLM-Judge best; NLI-only schwach (SILENT unsichtbar für Entailment-Formulierung); Graph über lexikalisch, unter LLM",n = 101; Einzelannotator in Teilen; ein LLM; Kontamination nicht ausschließbar,"hoch – NLI-Schwäche bei nicht-paarweisen Konflikten, graphbasierte Alternative, Normbezug","F3, F4","H1, H5 (Stand der Technik, Pilot)",Korpusweite Graphkonstruktion (von Autoren als Ziel benannt),hoch,mittel,mittel,hoch,mittel,teilweise
SRC-0039,Was sind Widersprüche in Anforderungsdokumenten und wie treten sie auf?,Aristotelische Logik als Basis; Untertypen; Formalisierung der Anforderungssätze + Fragenkatalog; Validierung an Industriedokumenten,Industrielle Anforderungsdokumente (Beispiele),Anforderungen/Spezifikationen,Aristotelisch (Satz vom Widerspruch) auf Anforderungspaare angewandt,Untertypen von Widersprüchen in Anforderungen (Taxonomie; Details im Volltext),n/a,n/a,n/a,n/a,n/a,manuell/semi-automatisch,n/a,n/a,-,Beispielbasierte Validierung,Anwendbare Taxonomie als Basis für automatisierte CD (Abstract),unklar (Abstract-Basis),"hoch – Taxonomie für Anforderungswidersprüche (Bezug Taxonomie V1, Cluster E)",F1,,Semi-automatisch; keine Zeit/Status,nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),hoch,mittel,nein
SRC-0040,Automatisierte Widerspruchserkennung in formalen Anforderungen (kontrollierte Sprache),ALICE: formale Logik + LLM; Entscheidungsbaum mit sieben Fragen zur Bestimmung von Präsenz und Typ; Vergleich mit LLM-only,"Dataset 1 (real), Dataset 2 (1.071 manuell gelabelte Paare), Dataset 3 (3.916 ungeprüfte Paare); Zugang laut Papier",Anforderungsspezifikationen (Industrie),nach erweiterter Taxonomie (SRC-0039),"Erweiterte Taxonomie mit Untertypen → Fakt und Wert, Modalität und Norm, Abhängigkeit",n/a,n/a,n/a,n/a,n/a,LLM + formale Logik,Regel-/logikgesteuerte Entscheidung mit LLM-Antworten (hybrid),n/a,LLM-only,"Accuracy, Precision, Recall",Dataset 1: ALICE Acc 72 %/R 75 %/P 83 % vs. LLM-only 47 %/32 %/80 %; Dataset 2: Acc 99 %/R 60 %/P 94 %; erkennt 60 % aller Widersprüche,Kontrollierte Sprache; Recall 60 % auf Dataset 2,"hoch – hybrides symbolisch-neuronales Verfahren schlägt LLM-only in Requirements (Stand der Technik zu H1/H6, keine Prüfung)","F3, F6","H1, H6 (Stand der Technik)","Keine Zeit-/Statusmodellierung, keine Provenienz, kein Evidenzgraph; paarweise",hoch,mittel,hoch,hoch,hoch,teilweise
SRC-0041,Kann GPT-3.5 Inkonsistenzen in NL-Anforderungen finden?,Vorstudie: GPT-3.5-Vorhersagen vs. Expertenurteile (Studierende mit RE-Kenntnis) auf wenigen Dokumenten,Wenige Beispiel-Anforderungsdokumente,Anforderungen,unklar (Abstract-Basis),unklar (Abstract-Basis),n/a,n/a,n/a,n/a,n/a,GPT-3.5,n/a,n/a,traditionelle NLP-Werkzeuge (qualitativ),unklar (Abstract-Basis),"ChatGPT erkennt Inkonsistenzen, die traditionelle NLP-Werkzeuge kaum finden (vorläufig)",Vorstudie mit wenigen Beispieldokumenten (laut Abstract); Volltext nicht geprüft,mittel – frühe LLM-Baseline (B4) in RE,F3,H1 (Stand der Technik),Systematische Evaluation,nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),mittel,mittel,nein
SRC-0042,Grenzen von LLMs bei Inkonsistenzdetektion in realen Anforderungsdokumenten,Hybrid: Clustering (regelbasiert) + LLM auf potenziellen Inkonsistenzen,Großes Sicherheitsanforderungsdokument (RE Open Data Initiative) mit injizierten Inkonsistenzen,Anforderungen,unklar (Abstract-Basis),unklar (Abstract-Basis),n/a,n/a,n/a,n/a,n/a,LLM,Clustering fokussiert LLM (hybrid),n/a,LLM-only,"Precision, Recall",Kombination erhöht Precision und Recall (Abstract),unklar (Abstract-Basis),hoch – hybrides Verfahren in RE (Stand der Technik zu H1),F3,H1 (Stand der Technik),Injizierte Inkonsistenzen; keine Zeit/Status,nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),hoch,mittel,teilweise
SRC-0043,NLI-Konsistenzprüfung industrieller (deutscher) Anforderungen mit LLMs,"Semisynthetischer Datensatz (widersprüchliche/paraphrasierte Varianten realer Anforderungen), Transformer vs. GPT-4o(-mini), Prompt-Optimierung","> 21.000 Anforderungspaare (E/C/N), automotive, Deutsch","Anforderungen (Automotive, Deutsch)",NLI-Label 'contradiction' auf Anforderungspaaren,allgemein (syntaktisch variiert),n/a,n/a,n/a,n/a,n/a,"Multilinguale Transformer, GPT-4o",n/a,n/a,fine-tuned Transformer,unklar (Abstract-Basis),GPT-4o deutlich besser als Fine-Tuning; GPT-4o mini nach Prompt-Optimierung nur leicht schlechter,Semisynthetisch,"hoch – deutschsprachige Anforderungspaare, Generatoransatz (AP2), B3/B4-Vergleich","F1, F3",H1 (Stand der Technik),"Paarweise; keine dokumentübergreifende, zeitliche oder Statusdimension",nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),hoch,mittel,nein
SRC-0044,Welches Domänenwissen braucht ein KI-Agent für Konsistenzprüfung von Anforderungen?,LLM-Agent mit explizit eingebundenem Domänenwissen; Ablation über Situational/Conceptual/Procedural Knowledge auf 53 industriellen Prüfitems,53 industrielle Verifikationsitems (intern und dokumentübergreifend),Automotive-Anforderungsspezifikationen,unklar (Abstract-Basis),Interne und dokumentübergreifende Konsistenz (inkl. regulatorisch),n/a,n/a,n/a,n/a,n/a,LLM-Agent,n/a,n/a,Agent ohne Domänenwissen,"Human Review Coverage, False Alarms",Coverage 47 % → 74 % mit vollem Domänenwissen; False Alarms −42 %; Synergie der Wissensschichten,Eine Organisation; 53 Items,hoch – industrielle dokumentübergreifende Konsistenzprüfung; LLM-basierter Ansatz mit explizit eingebundenem Domänenwissen (keine symbolische Komponente belegt),"F2, F3",H1 (Stand der Technik: LLM mit Domänenwissen),Keine Zeit-/Statusmodellierung erkennbar; Abstract-Basis,nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),hoch,mittel,teilweise
SRC-0045,Konflikte zwischen NL-Funktionsanforderungen ohne Templates erkennen,"Acht-Tupel-Semantikmodell (id, groupId, event, agent, operation, input, output, restriction), POS/SDP-basierte Annotation, heuristische Regeln für sieben Konflikttypen",Drei bzw. vier offene Anforderungsdatensätze,Funktionale Anforderungen,"Konflikt als Relation zwischen semantischen Elementen (Inklusion, Widerspruch, Interlock u. a.)","Sieben Konflikttypen über Agent/Operation/Input/Output/Restriktion/Ereignis → Akteur und Verantwortung, Abhängigkeit, Fakt und Wert",Agenten/Objekte werden als Tupelelemente verglichen (regelbasiert),n/a,n/a,n/a,n/a,"regelbasiert (POS, semantische Dependenzen)",n/a,n/a,-,"Accuracy (Elementannotation), Precision/Recall (Konflikte)","Elementannotation Ø 94,93 %; Konfliktdetektion Recall ≈ 100 %, Precision Ø 83,88 %","Regel-/Templatefrei, aber heuristisch; Precision bei Industriedaten niedriger",hoch – regelbasierte Baseline B1 mit Akteur-/Abhängigkeitsbezug,F3,H1 (Stand der Technik: regelbasiert),Keine Zeit/Status; keine dokumentübergreifende Provenienz,hoch,mittel,mittel,hoch,mittel,nein
SRC-0046,Widersprüche in IoT-Protokollspezifikationen (RFC) erkennen,"NRFCKG: LLM-basierte Entitäts-, Relations- und Regelextraktion → Knowledge Graph → intra-/inter-entitätsbezogene Widerspruchsdetektion","RFC 7252 (CoAP), MQTT-, AMQP-Spezifikation",Protokollspezifikationen (semi-formal),unklar (Abstract-Basis),"Intra-Entity und Inter-Entity Widersprüche (KG) → Abhängigkeit und Schnittstelle, Modalität und Norm",Entitätsextraktion für KG (Details unklar),n/a,n/a,n/a,Neural generierter Knowledge Graph mit Regeln,LLM (Extraktion),n/a,n/a,unklar (Abstract-Basis),unklar (Abstract-Basis),"Generalisiert auf weitere Spezifikationen, findet Widersprüche (Abstract)",unklar (Abstract-Basis),"hoch – KG-basierte Widerspruchsdetektion in Spezifikationen (Bezug §5A), Schnittstellendokumente",F2,H5 (Stand der Technik),Zeit/Status/Provenienz unklar (Abstract),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),hoch,mittel,teilweise
SRC-0047,Semantische Konsistenz zwischen heterogenen Anforderungen und Modellen (MDD),Observables als Abstraktion; ontologiegetriebene RAG+LLM-Extraktion von Observables/Constraints; SMT-basierte Konsistenzprüfung (RAG4C),Synthetische Datensätze + industrielle Automotive-Fallstudie (bis Tausende Anforderungen),Anforderungen und Modelle (Software/Mechanik/Elektrik),Unvereinbare Constraints über gemeinsame Observables (Terminologie/Wertebereiche),"Wertebereichs-/Constraint-Konflikte, Terminologie-Misalignments → Fakt und Wert, Abhängigkeit und Schnittstelle",Harmonisierung von Observables/Synonymen via Ontologie,n/a,n/a,n/a,Ontologie,LLM + RAG,LLM-Extraktion + symbolischer Solver (hybrid),n/a,-,Machbarkeit/Skalierbarkeit,Feasibility und Skalierung demonstriert,Keine Standardmetriken berichtet (Volltext),"hoch – neuro-symbolisch, Entitäts-/Terminologieharmonisierung, heterogene Artefakte","F2, F6","H2, H6 (Stand der Technik)",Keine Zeit-/Statusdimension; keine Evaluationsmetriken,mittel,niedrig,niedrig,hoch,mittel,teilweise
SRC-0050,Latente/komplexe Widersprüche in Text finden,Topologische Merkmale (TDA) zur Anreicherung von Deep-Learning-Modellen,unklar (Abstract-Basis),Text verschiedener Genres,unklar (Abstract-Basis),Klassifikation mit sechs Widerspruchstypen (Abstract),n/a,n/a,n/a,n/a,n/a,Deep Learning + Topologie,n/a,n/a,nicht-topologische Modelle,unklar (Abstract-Basis),"Topologische Merkmale nützlich, v. a. für latente/komplexe Widersprüche (Abstract)",unklar (Abstract-Basis),niedrig–mittel – Typklassifikation als Taxonomiebezug,F1,,unklar (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),niedrig,mittel,nein
